Seq1	Seq2	Distance
SRR1553739	SRR1556297	10
SRR1553740	SRR1553725	11425
SRR1553740	SRR1553739	8
SRR1553740	SRR1553740	0
SRR1553740	SRR1553750	7
SRR1553740	SRR1553756	0
SRR1553740	SRR1553764	43
SRR1553740	SRR1553773	0
SRR1553740	SRR1553774	1
SRR1553740	SRR1553779	43
SRR1553740	SRR1553784	11396
SRR1553740	SRR1553788	2
SRR1553740	SRR1553791	0
SRR1553740	SRR1553792	0
SRR1553740	SRR1553796	11424
SRR1553740	SRR1553797	1
SRR1553740	SRR1553798	43
SRR1553740	SRR1553804	1
SRR1553740	SRR1553816	43
SRR1553740	SRR1553820	0
SRR1553740	SRR1553821	0
SRR1553740	SRR1553826	0
SRR1553740	SRR1553827	0
SRR1553740	SRR1553840	44
SRR1553740	SRR1553850	11426
SRR1553740	SRR1553851	7
SRR1553740	SRR1553855	44
SRR1553740	SRR1553856	0
SRR1553740	SRR1553866	7
SRR1553740	SRR1553867	43
SRR1553740	SRR1553871	11422
SRR1553740	SRR1553882	3
SRR1553740	SRR1553906	8
SRR1553740	SRR1553907	43
SRR1553740	SRR1554256	7
SRR1553740	SRR1554259	4
SRR1553740	SRR1556285	7
SRR1553740	SRR1556286	11398
SRR1553740	SRR1556287	11407
SRR1553740	SRR1556288	8
SRR1553740	SRR1556289	44
SRR1553740	SRR1556290	7
SRR1553740	SRR1556291	8
SRR1553740	SRR1556292	7
SRR1553740	SRR1556293	2
SRR1553740	SRR1556294	2
SRR1553740	SRR1556295	2
SRR1553740	SRR1556296	44
SRR1553740	SRR1556297	2
SRR1553750	SRR1553725	11422
SRR1553750	SRR1553739	1
SRR1553750	SRR1553740	7
SRR1553750	SRR1553750	0
SRR1553750	SRR1553756	7
SRR1553750	SRR1553764	40
SRR1553750	SRR1553773	7
SRR1553750	SRR1553774	8
SRR1553750	SRR1553779	40
SRR1553750	SRR1553784	11393
SRR1553750	SRR1553788	9
SRR1553750	SRR1553791	7
SRR1553750	SRR1553792	7
SRR1553750	SRR1553796	11421
SRR1553750	SRR1553797	8
SRR1553750	SRR1553798	40
SRR1553750	SRR1553804	8
SRR1553750	SRR1553816	40
SRR1553750	SRR1553820	7
SRR1553750	SRR1553821	7
SRR1553750	SRR1553826	7
SRR1553750	SRR1553827	7
SRR1553750	SRR1553840	41
SRR1553750	SRR1553850	11423
SRR1553750	SRR1553851	0
SRR1553750	SRR1553855	41
SRR1553750	SRR1553856	7
SRR1553750	SRR1553866	0
SRR1553750	SRR1553867	40
SRR1553750	SRR1553871	11419
SRR1553750	SRR1553882	10
SRR1553750	SRR1553906	1
SRR1553750	SRR1553907	40
SRR1553750	SRR1554256	0
SRR1553750	SRR1554259	11
SRR1553750	SRR1556285	0
SRR1553750	SRR1556286	11395
SRR1553750	SRR1556287	11404
SRR1553750	SRR1556288	1
SRR1553750	SRR1556289	41
SRR1553750	SRR1556290	0
SRR1553750	SRR1556291	1
SRR1553750	SRR1556292	0
SRR1553750	SRR1556293	9
SRR1553750	SRR1556294	9
SRR1553750	SRR1556295	9
SRR1553750	SRR1556296	41
SRR1553750	SRR1556297	9
SRR1553756	SRR1553725	11425
SRR1553756	SRR1553739	8
SRR1553756	SRR1553740	0
SRR1553756	SRR1553750	7
SRR1553756	SRR1553756	0
SRR1553756	SRR1553764	43
SRR1553756	SRR1553773	0
SRR1553756	SRR1553774	1
SRR1553756	SRR1553779	43
SRR1553756	SRR1553784	11396
SRR1553756	SRR1553788	2
SRR1553756	SRR1553791	0
SRR1553756	SRR1553792	0
SRR1553756	SRR1553796	11424
SRR1553756	SRR1553797	1
SRR1553756	SRR1553798	43
SRR1553756	SRR1553804	1
SRR1553756	SRR1553816	43
SRR1553756	SRR1553820	0
SRR1553756	SRR1553821	0
SRR1553756	SRR1553826	0
SRR1553756	SRR1553827	0
SRR1553756	SRR1553840	44
SRR1553756	SRR1553850	11426
SRR1553756	SRR1553851	7
SRR1553756	SRR1553855	44
SRR1553756	SRR1553856	0
SRR1553756	SRR1553866	7
SRR1553756	SRR1553867	43
SRR1553756	SRR1553871	11422
SRR1553756	SRR1553882	3
SRR1553756	SRR1553906	8
SRR1553756	SRR1553907	43
SRR1553756	SRR1554256	7
SRR1553756	SRR1554259	4
SRR1553756	SRR1556285	7
SRR1553756	SRR1556286	11398
SRR1553756	SRR1556287	11407
SRR1553756	SRR1556288	8
SRR1553756	SRR1556289	44
SRR1553756	SRR1556290	7
SRR1553756	SRR1556291	8
SRR1553756	SRR1556292	7
SRR1553756	SRR1556293	2
SRR1553756	SRR1556294	2
SRR1553756	SRR1556295	2
SRR1553756	SRR1556296	44
SRR1553756	SRR1556297	2
SRR1553764	SRR1553725	11430
SRR1553764	SRR1553739	41
SRR1553764	SRR1553740	43
SRR1553764	SRR1553750	40
SRR1553764	SRR1553756	43
SRR1553764	SRR1553764	0
SRR1553764	SRR1553773	43
SRR1553764	SRR1553774	44
SRR1553764	SRR1553779	0
SRR1553764	SRR1553784	11403
SRR1553764	SRR1553788	45
SRR1553764	SRR1553791	43
SRR1553764	SRR1553792	43
SRR1553764	SRR1553796	11431
SRR1553764	SRR1553797	44
SRR1553764	SRR1553798	0
SRR1553764	SRR1553804	44
SRR1553764	SRR1553816	0
SRR1553764	SRR1553820	43
SRR1553764	SRR1553821	43
SRR1553764	SRR1553826	43
SRR1553764	SRR1553827	43
SRR1553764	SRR1553840	1
SRR1553764	SRR1553850	11430
SRR1553764	SRR1553851	40
SRR1553764	SRR1553855	1
SRR1553764	SRR1553856	43
SRR1553764	SRR1553866	40
SRR1553764	SRR1553867	0
SRR1553764	SRR1553871	11426
SRR1553764	SRR1553882	46
SRR1553764	SRR1553906	41
SRR1553764	SRR1553907	0
SRR1553764	SRR1554256	40
SRR1553764	SRR1554259	47
SRR1553764	SRR1556285	40
SRR1553764	SRR1556286	11403
SRR1553764	SRR1556287	11411
SRR1553764	SRR1556288	41
SRR1553764	SRR1556289	1
SRR1553764	SRR1556290	40
SRR1553764	SRR1556291	41
SRR1553764	SRR1556292	40
SRR1553764	SRR1556293	45
SRR1553764	SRR1556294	45
SRR1553764	SRR1556295	45
SRR1553764	SRR1556296	1
SRR1553764	SRR1556297	45
SRR1553773	SRR1553725	11425
SRR1553773	SRR1553739	8
SRR1553773	SRR1553740	0
SRR1553773	SRR1553750	7
SRR1553773	SRR1553756	0
SRR1553773	SRR1553764	43
SRR1553773	SRR1553773	0
SRR1553773	SRR1553774	1
SRR1553773	SRR1553779	43
SRR1553773	SRR1553784	11396
SRR1553773	SRR1553788	2
SRR1553773	SRR1553791	0
SRR1553773	SRR1553792	0
SRR1553773	SRR1553796	11424
SRR1553773	SRR1553797	1
SRR1553773	SRR1553798	43
SRR1553773	SRR1553804	1
SRR1553773	SRR1553816	43
SRR1553773	SRR1553820	0
SRR1553773	SRR1553821	0
SRR1553773	SRR1553826	0
SRR1553773	SRR1553827	0
SRR1553773	SRR1553840	44
SRR1553773	SRR1553850	11426
SRR1553773	SRR1553851	7
SRR1553773	SRR1553855	44
SRR1553773	SRR1553856	0
SRR1553773	SRR1553866	7
SRR1553773	SRR1553867	43
SRR1553773	SRR1553871	11422
SRR1553773	SRR1553882	3
SRR1553773	SRR1553906	8
SRR1553773	SRR1553907	43
SRR1553773	SRR1554256	7
SRR1553773	SRR1554259	4
SRR1553773	SRR1556285	7
SRR1553773	SRR1556286	11398
SRR1553773	SRR1556287	11407
SRR1553773	SRR1556288	8
SRR1553773	SRR1556289	44
SRR1553773	SRR1556290	7
SRR1553773	SRR1556291	8
SRR1553773	SRR1556292	7
SRR1553773	SRR1556293	2
SRR1553773	SRR1556294	2
SRR1553773	SRR1556295	2
SRR1553773	SRR1556296	44
SRR1553773	SRR1556297	2
SRR1553774	SRR1553725	11425
SRR1553774	SRR1553739	9
SRR1553774	SRR1553740	1
SRR1553774	SRR1553750	8
SRR1553774	SRR1553756	1
SRR1553774	SRR1553764	44
SRR1553774	SRR1553773	1
SRR1553774	SRR1553774	0
SRR1553774	SRR1553779	44
SRR1553774	SRR1553784	11396
SRR1553774	SRR1553788	1
SRR1553774	SRR1553791	1
SRR1553774	SRR1553792	1
SRR1553774	SRR1553796	11425
SRR1553774	SRR1553797	2
SRR1553774	SRR1553798	44
SRR1553774	SRR1553804	2
SRR1553774	SRR1553816	44
SRR1553774	SRR1553820	1
SRR1553774	SRR1553821	1
SRR1553774	SRR1553826	1
SRR1553774	SRR1553827	1
SRR1553774	SRR1553840	45
SRR1553774	SRR1553850	11426
SRR1553774	SRR1553851	8
SRR1553774	SRR1553855	45
SRR1553774	SRR1553856	1
SRR1553774	SRR1553866	8
SRR1553774	SRR1553867	44
SRR1553774	SRR1553871	11422
SRR1553774	SRR1553882	4
SRR1553774	SRR1553906	9
SRR1553774	SRR1553907	44
SRR1553774	SRR1554256	8
SRR1553774	SRR1554259	5
SRR1553774	SRR1556285	8
SRR1553774	SRR1556286	11398
SRR1553774	SRR1556287	11407
SRR1553774	SRR1556288	9
SRR1553774	SRR1556289	45
SRR1553774	SRR1556290	8
SRR1553774	SRR1556291	9
SRR1553774	SRR1556292	8
SRR1553774	SRR1556293	3
SRR1553774	SRR1556294	3
SRR1553774	SRR1556295	3
SRR1553774	SRR1556296	45
SRR1553774	SRR1556297	3
SRR1553779	SRR1553725	11430
SRR1553779	SRR1553739	41
SRR1553779	SRR1553740	43
SRR1553779	SRR1553750	40
SRR1553779	SRR1553756	43
SRR1553779	SRR1553764	0
SRR1553779	SRR1553773	43
SRR1553779	SRR1553774	44
SRR1553779	SRR1553779	0
SRR1553779	SRR1553784	11403
SRR1553779	SRR1553788	45
SRR1553779	SRR1553791	43
SRR1553779	SRR1553792	43
SRR1553779	SRR1553796	11431
SRR1553779	SRR1553797	44
SRR1553779	SRR1553798	0
SRR1553779	SRR1553804	44
SRR1553779	SRR1553816	0
SRR1553779	SRR1553820	43
SRR1553779	SRR1553821	43
SRR1553779	SRR1553826	43
SRR1553779	SRR1553827	43
SRR1553779	SRR1553840	1
SRR1553779	SRR1553850	11430
SRR1553779	SRR1553851	40
SRR1553779	SRR1553855	1
SRR1553779	SRR1553856	43
SRR1553779	SRR1553866	40
SRR1553779	SRR1553867	0
SRR1553779	SRR1553871	11426
SRR1553779	SRR1553882	46
SRR1553779	SRR1553906	41
SRR1553779	SRR1553907	0
SRR1553779	SRR1554256	40
SRR1553779	SRR1554259	47
SRR1553779	SRR1556285	40
SRR1553779	SRR1556286	11403
SRR1553779	SRR1556287	11411
SRR1553779	SRR1556288	41
SRR1553779	SRR1556289	1
SRR1553779	SRR1556290	40
SRR1553779	SRR1556291	41
SRR1553779	SRR1556292	40
SRR1553779	SRR1556293	45
SRR1553779	SRR1556294	45
SRR1553779	SRR1556295	45
SRR1553779	SRR1556296	1
SRR1553779	SRR1556297	45
SRR1553784	SRR1553725	8
SRR1553784	SRR1553739	11394
SRR1553784	SRR1553740	11396
SRR1553784	SRR1553750	11393
SRR1553784	SRR1553756	11396
SRR1553784	SRR1553764	11403
SRR1553784	SRR1553773	11396
SRR1553784	SRR1553774	11396
SRR1553784	SRR1553779	11403
SRR1553784	SRR1553784	0
SRR1553784	SRR1553788	11398
SRR1553784	SRR1553791	11396
SRR1553784	SRR1553792	11396
SRR1553784	SRR1553796	8
SRR1553784	SRR1553797	11397
SRR1553784	SRR1553798	11403
SRR1553784	SRR1553804	11397
SRR1553784	SRR1553816	11403
SRR1553784	SRR1553820	11396
SRR1553784	SRR1553821	11396
SRR1553784	SRR1553826	11396
SRR1553784	SRR1553827	11396
SRR1553784	SRR1553840	11404
SRR1553784	SRR1553850	15
SRR1553784	SRR1553851	11393
SRR1553784	SRR1553855	11404
SRR1553784	SRR1553856	11396
SRR1553784	SRR1553866	11393
SRR1553784	SRR1553867	11403
SRR1553784	SRR1553871	12
SRR1553784	SRR1553882	11399
SRR1553784	SRR1553906	11394
SRR1553784	SRR1553907	11403
SRR1553784	SRR1554256	11393
SRR1553784	SRR1554259	11399
SRR1553784	SRR1556285	11392
SRR1553784	SRR1556286	14
SRR1553784	SRR1556287	2
SRR1553784	SRR1556288	11394
SRR1553784	SRR1556289	11402
SRR1553784	SRR1556290	11393
SRR1553784	SRR1556291	11394
SRR1553784	SRR1556292	11388
SRR1553784	SRR1556293	11398
SRR1553784	SRR1556294	11398
SRR1553784	SRR1556295	11398
SRR1553784	SRR1556296	11404
SRR1553784	SRR1556297	11397
SRR1553788	SRR1553725	11427
SRR1553788	SRR1553739	10
SRR1553788	SRR1553740	2
SRR1553788	SRR1553750	9
SRR1553788	SRR1553756	2
SRR1553788	SRR1553764	45
SRR1553788	SRR1553773	2
SRR1553788	SRR1553774	1
SRR1553788	SRR1553779	45
SRR1553788	SRR1553784	11398
SRR1553788	SRR1553788	0
SRR1553788	SRR1553791	2
SRR1553788	SRR1553792	2
SRR1553788	SRR1553796	11426
SRR1553788	SRR1553797	3
SRR1553788	SRR1553798	45
SRR1553788	SRR1553804	3
SRR1553788	SRR1553816	45
SRR1553788	SRR1553820	2
SRR1553788	SRR1553821	2
SRR1553788	SRR1553826	2
SRR1553788	SRR1553827	2
SRR1553788	SRR1553840	46
SRR1553788	SRR1553850	11428
SRR1553788	SRR1553851	9
SRR1553788	SRR1553855	46
SRR1553788	SRR1553856	2
SRR1553788	SRR1553866	9
SRR1553788	SRR1553867	45
SRR1553788	SRR1553871	11424
SRR1553788	SRR1553882	5
SRR1553788	SRR1553906	10
SRR1553788	SRR1553907	45
SRR1553788	SRR1554256	9
SRR1553788	SRR1554259	6
SRR1553788	SRR1556285	9
SRR1553788	SRR1556286	11400
SRR1553788	SRR1556287	11409
SRR1553788	SRR1556288	10
SRR1553788	SRR1556289	46
SRR1553788	SRR1556290	9
SRR1553788	SRR1556291	10
SRR1553788	SRR1556292	9
SRR1553788	SRR1556293	4
SRR1553788	SRR1556294	4
SRR1553788	SRR1556295	4
SRR1553788	SRR1556296	46
SRR1553788	SRR1556297	4
SRR1553791	SRR1553725	11425
SRR1553791	SRR1553739	8
SRR1553791	SRR1553740	0
SRR1553791	SRR1553750	7
SRR1553791	SRR1553756	0
SRR1553791	SRR1553764	43
SRR1553791	SRR1553773	0
SRR1553791	SRR1553774	1
SRR1553791	SRR1553779	43
SRR1553791	SRR1553784	11396
SRR1553791	SRR1553788	2
SRR1553791	SRR1553791	0
SRR1553791	SRR1553792	0
SRR1553791	SRR1553796	11424
SRR1553791	SRR1553797	1
SRR1553791	SRR1553798	43
SRR1553791	SRR1553804	1
SRR1553791	SRR1553816	43
SRR1553791	SRR1553820	0
SRR1553791	SRR1553821	0
SRR1553791	SRR1553826	0
SRR1553791	SRR1553827	0
SRR1553791	SRR1553840	44
SRR1553791	SRR1553850	11426
SRR1553791	SRR1553851	7
SRR1553791	SRR1553855	44
SRR1553791	SRR1553856	0
SRR1553791	SRR1553866	7
SRR1553791	SRR1553867	43
SRR1553791	SRR1553871	11422
SRR1553791	SRR1553882	3
SRR1553791	SRR1553906	8
SRR1553791	SRR1553907	43
SRR1553791	SRR1554256	7
SRR1553791	SRR1554259	4
SRR1553791	SRR1556285	7
SRR1553791	SRR1556286	11398
SRR1553791	SRR1556287	11407
SRR1553791	SRR1556288	8
SRR1553791	SRR1556289	44
SRR1553791	SRR1556290	7
SRR1553791	SRR1556291	8
SRR1553791	SRR1556292	7
SRR1553791	SRR1556293	2
SRR1553791	SRR1556294	2
SRR1553791	SRR1556295	2
SRR1553791	SRR1556296	44
SRR1553791	SRR1556297	2
SRR1553792	SRR1553725	11425
SRR1553792	SRR1553739	8
SRR1553792	SRR1553740	0
SRR1553792	SRR1553750	7
SRR1553792	SRR1553756	0
SRR1553792	SRR1553764	43
SRR1553792	SRR1553773	0
SRR1553792	SRR1553774	1
SRR1553792	SRR1553779	43
SRR1553792	SRR1553784	11396
SRR1553792	SRR1553788	2
SRR1553792	SRR1553791	0
SRR1553792	SRR1553792	0
SRR1553792	SRR1553796	11424
SRR1553792	SRR1553797	1
SRR1553792	SRR1553798	43
SRR1553792	SRR1553804	1
SRR1553792	SRR1553816	43
SRR1553792	SRR1553820	0
SRR1553792	SRR1553821	0
SRR1553792	SRR1553826	0
SRR1553792	SRR1553827	0
SRR1553792	SRR1553840	44
SRR1553792	SRR1553850	11426
SRR1553792	SRR1553851	7
SRR1553792	SRR1553855	44
SRR1553792	SRR1553856	0
SRR1553792	SRR1553866	7
SRR1553792	SRR1553867	43
SRR1553792	SRR1553871	11422
SRR1553792	SRR1553882	3
SRR1553792	SRR1553906	8
SRR1553792	SRR1553907	43
SRR1553792	SRR1554256	7
SRR1553792	SRR1554259	4
SRR1553792	SRR1556285	7
SRR1553792	SRR1556286	11398
SRR1553792	SRR1556287	11407
SRR1553792	SRR1556288	8
SRR1553792	SRR1556289	44
SRR1553792	SRR1556290	7
SRR1553792	SRR1556291	8
SRR1553792	SRR1556292	7
SRR1553792	SRR1556293	2
SRR1553792	SRR1556294	2
SRR1553792	SRR1556295	2
SRR1553792	SRR1556296	44
SRR1553792	SRR1556297	2
SRR1553796	SRR1553725	2
SRR1553796	SRR1553739	11422
SRR1553796	SRR1553740	11424
SRR1553796	SRR1553750	11421
SRR1553796	SRR1553756	11424
SRR1553796	SRR1553764	11431
SRR1553796	SRR1553773	11424
SRR1553796	SRR1553774	11425
SRR1553796	SRR1553779	11431
SRR1553796	SRR1553784	8
SRR1553796	SRR1553788	11426
SRR1553796	SRR1553791	11424
SRR1553796	SRR1553792	11424
SRR1553796	SRR1553796	0
SRR1553796	SRR1553797	11425
SRR1553796	SRR1553798	11431
SRR1553796	SRR1553804	11425
SRR1553796	SRR1553816	11431
SRR1553796	SRR1553820	11424
SRR1553796	SRR1553821	11424
SRR1553796	SRR1553826	11424
SRR1553796	SRR1553827	11424
SRR1553796	SRR1553840	11432
SRR1553796	SRR1553850	7
SRR1553796	SRR1553851	11421
SRR1553796	SRR1553855	11432
SRR1553796	SRR1553856	11424
SRR1553796	SRR1553866	11421
SRR1553796	SRR1553867	11431
SRR1553796	SRR1553871	14
SRR1553796	SRR1553882	11427
SRR1553796	SRR1553906	11422
SRR1553796	SRR1553907	11431
SRR1553796	SRR1554256	11421
SRR1553796	SRR1554259	11427
SRR1553796	SRR1556285	11420
SRR1553796	SRR1556286	17
SRR1553796	SRR1556287	11
SRR1553796	SRR1556288	11422
SRR1553796	SRR1556289	11430
SRR1553796	SRR1556290	11421
SRR1553796	SRR1556291	11422
SRR1553796	SRR1556292	11416
SRR1553796	SRR1556293	11426
SRR1553796	SRR1556294	11426
SRR1553796	SRR1556295	11426
SRR1553796	SRR1556296	11432
SRR1553796	SRR1556297	11425
SRR1553797	SRR1553725	11426
SRR1553797	SRR1553739	9
SRR1553797	SRR1553740	1
SRR1553797	SRR1553750	8
SRR1553797	SRR1553756	1
SRR1553797	SRR1553764	44
SRR1553797	SRR1553773	1
SRR1553797	SRR1553774	2
SRR1553797	SRR1553779	44
SRR1553797	SRR1553784	11397
SRR1553797	SRR1553788	3
SRR1553797	SRR1553791	1
SRR1553797	SRR1553792	1
SRR1553797	SRR1553796	11425
SRR1553797	SRR1553797	0
SRR1553797	SRR1553798	44
SRR1553797	SRR1553804	2
SRR1553797	SRR1553816	44
SRR1553797	SRR1553820	1
SRR1553797	SRR1553821	1
SRR1553797	SRR1553826	1
SRR1553797	SRR1553827	1
SRR1553797	SRR1553840	45
SRR1553797	SRR1553850	11427
SRR1553797	SRR1553851	8
SRR1553797	SRR1553855	45
SRR1553797	SRR1553856	1
SRR1553797	SRR1553866	8
SRR1553797	SRR1553867	44
SRR1553797	SRR1553871	11423
SRR1553797	SRR1553882	4
SRR1553797	SRR1553906	9
SRR1553797	SRR1553907	44
SRR1553797	SRR1554256	8
SRR1553797	SRR1554259	5
SRR1553797	SRR1556285	8
SRR1553797	SRR1556286	11399
SRR1553797	SRR1556287	11408
SRR1553797	SRR1556288	9
SRR1553797	SRR1556289	45
SRR1553797	SRR1556290	8
SRR1553797	SRR1556291	9
SRR1553797	SRR1556292	8
SRR1553797	SRR1556293	3
SRR1553797	SRR1556294	3
SRR1553797	SRR1556295	3
SRR1553797	SRR1556296	45
SRR1553797	SRR1556297	3
SRR1553798	SRR1553725	11430
SRR1553798	SRR1553739	41
SRR1553798	SRR1553740	43
SRR1553798	SRR1553750	40
SRR1553798	SRR1553756	43
SRR1553798	SRR1553764	0
SRR1553798	SRR1553773	43
SRR1553798	SRR1553774	44
SRR1553798	SRR1553779	0
SRR1553798	SRR1553784	11403
SRR1553798	SRR1553788	45
SRR1553798	SRR1553791	43
SRR1553798	SRR1553792	43
SRR1553798	SRR1553796	11431
SRR1553798	SRR1553797	44
SRR1553798	SRR1553798	0
SRR1553798	SRR1553804	44
SRR1553798	SRR1553816	0
SRR1553798	SRR1553820	43
SRR1553798	SRR1553821	43
SRR1553798	SRR1553826	43
SRR1553798	SRR1553827	43
SRR1553798	SRR1553840	1
SRR1553798	SRR1553850	11430
SRR1553798	SRR1553851	40
SRR1553798	SRR1553855	1
SRR1553798	SRR1553856	43
SRR1553798	SRR1553866	40
SRR1553798	SRR1553867	0
SRR1553798	SRR1553871	11426
SRR1553798	SRR1553882	46
SRR1553798	SRR1553906	41
SRR1553798	SRR1553907	0
SRR1553798	SRR1554256	40
SRR1553798	SRR1554259	47
SRR1553798	SRR1556285	40
SRR1553798	SRR1556286	11403
SRR1553798	SRR1556287	11411
SRR1553798	SRR1556288	41
SRR1553798	SRR1556289	1
SRR1553798	SRR1556290	40
SRR1553798	SRR1556291	41
SRR1553798	SRR1556292	40
SRR1553798	SRR1556293	45
SRR1553798	SRR1556294	45
SRR1553798	SRR1556295	45
SRR1553798	SRR1556296	1
SRR1553798	SRR1556297	45
SRR1553804	SRR1553725	11426
SRR1553804	SRR1553739	9
SRR1553804	SRR1553740	1
SRR1553804	SRR1553750	8
SRR1553804	SRR1553756	1
SRR1553804	SRR1553764	44
SRR1553804	SRR1553773	1
SRR1553804	SRR1553774	2
SRR1553804	SRR1553779	44
SRR1553804	SRR1553784	11397
SRR1553804	SRR1553788	3
SRR1553804	SRR1553791	1
SRR1553804	SRR1553792	1
SRR1553804	SRR1553796	11425
SRR1553804	SRR1553797	2
SRR1553804	SRR1553798	44
SRR1553804	SRR1553804	0
SRR1553804	SRR1553816	44
SRR1553804	SRR1553820	1
SRR1553804	SRR1553821	1
SRR1553804	SRR1553826	1
SRR1553804	SRR1553827	1
SRR1553804	SRR1553840	45
SRR1553804	SRR1553850	11427
SRR1553804	SRR1553851	8
SRR1553804	SRR1553855	45
SRR1553804	SRR1553856	1
SRR1553804	SRR1553866	8
SRR1553804	SRR1553867	44
SRR1553804	SRR1553871	11423
SRR1553804	SRR1553882	4
SRR1553804	SRR1553906	9
SRR1553804	SRR1553907	44
SRR1553804	SRR1554256	8
SRR1553804	SRR1554259	5
SRR1553804	SRR1556285	8
SRR1553804	SRR1556286	11399
SRR1553804	SRR1556287	11408
SRR1553804	SRR1556288	9
SRR1553804	SRR1556289	45
SRR1553804	SRR1556290	8
SRR1553804	SRR1556291	9
SRR1553804	SRR1556292	8
SRR1553804	SRR1556293	3
SRR1553804	SRR1556294	3
SRR1553804	SRR1556295	3
SRR1553804	SRR1556296	45
SRR1553804	SRR1556297	3
SRR1553816	SRR1553725	11430
SRR1553816	SRR1553739	41
SRR1553816	SRR1553740	43
SRR1553816	SRR1553750	40
SRR1553816	SRR1553756	43
SRR1553816	SRR1553764	0
SRR1553816	SRR1553773	43
SRR1553816	SRR1553774	44
SRR1553816	SRR1553779	0
SRR1553816	SRR1553784	11403
SRR1553816	SRR1553788	45
SRR1553816	SRR1553791	43
SRR1553816	SRR1553792	43
SRR1553816	SRR1553796	11431
SRR1553816	SRR1553797	44
SRR1553816	SRR1553798	0
SRR1553816	SRR1553804	44
SRR1553816	SRR1553816	0
SRR1553816	SRR1553820	43
SRR1553816	SRR1553821	43
SRR1553816	SRR1553826	43
SRR1553816	SRR1553827	43
SRR1553816	SRR1553840	1
SRR1553816	SRR1553850	11430
SRR1553816	SRR1553851	40
SRR1553816	SRR1553855	1
SRR1553816	SRR1553856	43
SRR1553816	SRR1553866	40
SRR1553816	SRR1553867	0
SRR1553816	SRR1553871	11426
SRR1553816	SRR1553882	46
SRR1553816	SRR1553906	41
SRR1553816	SRR1553907	0
SRR1553816	SRR1554256	40
SRR1553816	SRR1554259	47
SRR1553816	SRR1556285	40
SRR1553816	SRR1556286	11403
SRR1553816	SRR1556287	11411
SRR1553816	SRR1556288	41
SRR1553816	SRR1556289	1
SRR1553816	SRR1556290	40
SRR1553816	SRR1556291	41
SRR1553816	SRR1556292	40
