	SRR1553725	SRR1553739	SRR1553740	SRR1553750	SRR1553756	SRR1553764	SRR1553773	SRR1553774	SRR1553779	SRR1553784	SRR1553788	SRR1553791	SRR1553792	SRR1553796	SRR1553797	SRR1553798	SRR1553804	SRR1553816	SRR1553820	SRR1553821	SRR1553826	SRR1553827	SRR1553840	SRR1553850	SRR1553851	SRR1553855	SRR1553856	SRR1553866	SRR1553867	SRR1553871	SRR1553882	SRR1553906	SRR1553907	SRR1554256	SRR1554259	SRR1556285	SRR1556286	SRR1556287	SRR1556288	SRR1556289	SRR1556290	SRR1556291	SRR1556292	SRR1556293	SRR1556294	SRR1556295	SRR1556296	SRR1556297
SRR1553788	1010	6	1	5	1	17	1	0	17	1008	0	1	1	1010	1	17	2	17	1	1	1	1	18	1013	5	18	1	5	17	1007	4	6	17	5	3	5	1007	1010	5	18	5	6	5	3	3	3	18	3
SRR1553791	1008	5	0	4	0	16	0	1	16	1007	1	0	0	1008	0	16	1	16	0	0	0	0	17	1011	4	17	0	4	16	1006	3	5	16	4	2	4	1005	1008	4	17	4	5	4	2	2	2	17	2
SRR1553792	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553796	0	1008	1009	1007	1009	1013	1009	1010	1014	0	1010	1008	1009	0	1009	1014	1010	1014	1009	1009	1009	1008	1014	3	1007	1015	1009	1007	1014	4	1012	1007	1013	1007	1009	1006	4	0	1007	1015	1006	1008	1005	1011	1011	1011	1014	1011
SRR1553797	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553798	1015	15	16	14	16	0	16	17	0	1013	17	16	16	1014	16	0	17	0	16	16	16	16	1	1017	14	1	16	14	0	1012	19	15	0	14	18	14	1012	1015	14	1	14	15	14	18	18	18	1	18
SRR1553804	1011	6	1	5	1	17	1	2	17	1009	2	1	1	1010	1	17	0	17	1	1	1	1	18	1013	5	18	1	5	17	1008	4	6	17	5	3	5	1008	1011	5	18	5	6	5	3	3	3	18	3
SRR1553816	1014	15	16	14	16	0	16	17	0	1012	17	16	16	1014	16	0	17	0	16	16	16	16	1	1017	14	1	16	14	0	1011	19	15	0	14	18	14	1011	1014	14	1	14	15	14	18	18	18	1	18
SRR1553820	1009	5	0	4	0	16	0	1	16	1007	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1006	3	5	16	4	2	4	1006	1009	4	17	4	5	4	2	2	2	17	2
SRR1553821	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553826	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553827	1009	5	0	4	0	16	0	1	16	1008	1	0	0	1008	0	16	1	16	0	0	0	0	17	1011	4	17	0	4	16	1007	3	5	16	4	2	4	1006	1009	4	17	4	5	4	2	2	2	17	2
SRR1553840	1014	16	17	15	17	1	17	18	1	1013	18	17	17	1014	17	1	18	1	17	17	17	17	0	1017	15	2	17	15	1	1012	20	16	1	15	19	15	1011	1014	15	2	15	16	15	19	19	19	2	19
SRR1553850	3	1011	1012	1010	1012	1016	1012	1013	1017	3	1013	1011	1012	3	1012	1017	1013	1017	1012	1012	1012	1011	1017	0	1010	1018	1012	1010	1017	7	1015	1010	1016	1010	1012	1009	7	3	1010	1018	1009	1011	1008	1014	1014	1014	1017	1014
SRR1553851	1007	1	4	0	4	14	4	5	14	1005	5	4	4	1007	4	14	5	14	4	4	4	4	15	1010	0	15	4	0	14	1004	7	1	14	0	6	0	1004	1007	0	15	0	1	0	6	6	6	15	6
SRR1553855	1015	16	17	15	17	1	17	18	1	1013	18	17	17	1015	17	1	18	1	17	17	17	17	2	1018	15	0	17	15	1	1012	20	16	1	15	19	15	1012	1015	15	2	15	16	15	19	19	19	2	19
SRR1553856	1010	5	0	4	0	16	0	1	16	1008	1	0	0	1009	0	16	1	16	0	0	0	0	17	1012	4	17	0	4	16	1007	3	5	16	4	2	4	1007	1010	4	17	4	5	4	2	2	2	17	2
SRR1553866	1008	1	4	0	4	14	4	5	14	1006	5	4	4	1007	4	14	5	14	4	4	4	4	15	1010	0	15	4	0	14	1005	7	1	14	0	6	0	1005	1008	0	15	0	1	0	6	6	6	15	6
SRR1553867	1015	15	16	14	16	0	16	17	0	1013	17	16	16	1014	16	0	17	0	16	16	16	16	1	1017	14	1	16	14	0	1012	19	15	0	14	18	14	1012	1015	14	1	14	15	14	18	18	18	1	18
SRR1553871	4	1006	1007	1005	1007	1012	1007	1008	1012	4	1007	1006	1007	4	1007	1012	1008	1011	1006	1007	1007	1007	1012	7	1004	1012	1007	1005	1012	0	1010	1006	1012	1004	1008	1004	0	4	1005	1013	1005	1006	1003	1009	1009	1009	1012	1009
SRR1553882	1013	8	3	7	3	19	3	4	19	1011	4	3	3	1012	3	19	4	19	3	3	3	3	20	1015	7	20	3	7	19	1010	0	8	19	7	5	7	1010	1013	7	20	7	8	7	1	1	1	20	1
SRR1553906	1008	2	5	1	5	15	5	6	15	1007	6	5	5	1007	5	15	6	15	5	5	5	5	16	1010	1	16	5	1	15	1006	8	0	15	1	7	1	1005	1008	1	16	1	2	1	7	7	7	16	7
SRR1553907	1014	15	16	14	16	0	16	17	0	1013	17	16	16	1013	16	0	17	0	16	16	16	16	1	1016	14	1	16	14	0	1012	19	15	0	14	18	14	1011	1014	14	1	14	15	14	18	18	18	1	18
SRR1554256	1007	1	4	0	4	14	4	5	14	1005	5	4	4	1007	4	14	5	14	4	4	4	4	15	1010	0	15	4	0	14	1004	7	1	14	0	6	0	1004	1007	0	15	0	1	0	6	6	6	15	6
SRR1554259	1010	7	2	6	2	18	2	3	18	1009	3	2	2	1009	2	18	3	18	2	2	2	2	19	1012	6	19	2	6	18	1008	5	7	18	6	0	6	1007	1010	6	19	6	7	6	4	4	4	19	4
SRR1556285	1006	1	4	0	4	14	4	5	14	1005	5	4	4	1006	4	14	5	14	4	4	4	4	15	1009	0	15	4	0	14	1004	7	1	14	0	6	0	1003	1006	0	15	0	1	0	6	6	6	15	6
SRR1556286	4	1006	1007	1005	1007	1011	1007	1008	1012	4	1007	1005	1007	4	1007	1012	1008	1011	1006	1007	1007	1006	1011	7	1004	1012	1007	1005	1012	0	1010	1005	1011	1004	1007	1003	0	4	1005	1013	1004	1006	1002	1009	1009	1009	1011	1009
SRR1556287	0	1009	1010	1008	1010	1014	1010	1011	1015	0	1010	1008	1010	0	1010	1015	1011	1014	1009	1010	1010	1009	1014	3	1007	1015	1010	1008	1015	4	1013	1008	1014	1007	1010	1006	4	0	1008	1016	1007	1009	1005	1012	1012	1012	1014	1012
SRR1556288	1008	1	4	0	4	14	4	5	14	1006	5	4	4	1007	4	14	5	14	4	4	4	4	15	1010	0	15	4	0	14	1005	7	1	14	0	6	0	1005	1008	0	15	0	1	0	6	6	6	15	6
SRR1556289	1016	16	17	15	17	1	17	18	1	1014	18	17	17	1015	17	1	18	1	17	17	17	17	2	1018	15	2	17	15	1	1013	20	16	1	15	19	15	1013	1016	15	0	15	16	15	19	19	19	2	19
SRR1556290	1007	1	4	0	4	14	4	5	14	1006	5	4	4	1006	4	14	5	14	4	4	4	4	15	1009	0	15	4	0	14	1005	7	1	14	0	6	0	1004	1007	0	15	0	1	0	6	6	6	15	6
SRR1556291	1009	2	5	1	5	15	5	6	15	1007	6	5	5	1008	5	15	6	15	5	5	5	5	16	1011	1	16	5	1	15	1006	8	2	15	1	7	1	1006	1009	1	16	1	0	1	7	7	7	16	7
SRR1556292	1005	1	4	0	4	14	4	5	14	1004	5	4	4	1005	4	14	5	14	4	4	4	4	15	1008	0	15	4	0	14	1003	7	1	14	0	6	0	1002	1005	0	15	0	1	0	6	6	6	15	6
SRR1556293	1012	7	2	6	2	18	2	3	18	1010	3	2	2	1011	2	18	3	18	2	2	2	2	19	1014	6	19	2	6	18	1009	1	7	18	6	4	6	1009	1012	6	19	6	7	6	0	0	0	19	0
SRR1556294	1012	7	2	6	2	18	2	3	18	1010	3	2	2	1011	2	18	3	18	2	2	2	2	19	1014	6	19	2	6	18	1009	1	7	18	6	4	6	1009	1012	6	19	6	7	6	0	0	0	19	0
SRR1556295	1012	7	2	6	2	18	2	3	18	1010	3	2	2	1011	2	18	3	18	2	2	2	2	19	1014	6	19	2	6	18	1009	1	7	18	6	4	6	1009	1012	6	19	6	7	6	0	0	0	19	0
SRR1556296	1014	16	17	15	17	1	17	18	1	1013	18	17	17	1014	17	1	18	1	17	17	17	17	2	1017	15	2	17	15	1	1012	20	16	1	15	19	15	1011	1014	15	2	15	16	15	19	19	19	0	19
SRR1556297	1012	7	2	6	2	18	2	3	18	1010	3	2	2	1011	2	18	3	18	2	2	2	2	19	1014	6	19	2	6	18	1009	1	7	18	6	4	6	1009	1012	6	19	6	7	6	0	0	0	19	0
