	SRR1553725	SRR1553739	SRR1553740	SRR1553750	SRR1553756	SRR1553764	SRR1553773	SRR1553774	SRR1553779	SRR1553784	SRR1553788	SRR1553791	SRR1553792	SRR1553796	SRR1553797	SRR1553798	SRR1553804	SRR1553816	SRR1553820	SRR1553821	SRR1553826	SRR1553827	SRR1553840	SRR1553850	SRR1553851	SRR1553855	SRR1553856	SRR1553866	SRR1553867	SRR1553871	SRR1553882	SRR1553906	SRR1553907	SRR1554256	SRR1554259	SRR1556285	SRR1556286	SRR1556287	SRR1556288	SRR1556289	SRR1556290	SRR1556291	SRR1556292	SRR1556293	SRR1556294	SRR1556295	SRR1556296	SRR1556297
SRR1553827	11425	8	0	7	0	43	0	1	43	11396	2	0	0	11424	1	43	1	43	0	0	0	0	44	11426	7	44	0	7	43	11422	3	8	43	7	4	7	11398	11407	8	44	7	8	7	2	2	2	44	2
SRR1553840	11431	42	44	41	44	1	44	45	1	11404	46	44	44	11432	45	1	45	1	44	44	44	44	0	11431	41	2	44	41	1	11427	47	42	1	41	48	41	11404	11412	42	2	41	42	41	46	46	46	2	46
SRR1553850	7	11424	11426	11423	11426	11430	11426	11426	11430	15	11428	11426	11426	7	11427	11430	11427	11430	11426	11426	11426	11426	11431	0	11423	11431	11426	11423	11430	18	11429	11424	11430	11423	11429	11423	22	15	11424	11429	11423	11424	11418	11428	11428	11428	11431	11427
SRR1553851	11422	1	7	0	7	40	7	8	40	11393	9	7	7	11421	8	40	8	40	7	7	7	7	41	11423	0	41	7	0	40	11419	10	1	40	0	11	0	11395	11404	1	41	0	1	0	9	9	9	41	9
SRR1553855	11431	42	44	41	44	1	44	45	1	11404	46	44	44	11432	45	1	45	1	44	44	44	44	2	11431	41	0	44	41	1	11427	47	42	1	41	48	41	11404	11412	42	2	41	42	41	46	46	46	2	46
SRR1553856	11425	8	0	7	0	43	0	1	43	11396	2	0	0	11424	1	43	1	43	0	0	0	0	44	11426	7	44	0	7	43	11422	3	8	43	7	4	7	11398	11407	8	44	7	8	7	2	2	2	44	2
SRR1553866	11422	1	7	0	7	40	7	8	40	11393	9	7	7	11421	8	40	8	40	7	7	7	7	41	11423	0	41	7	0	40	11419	10	1	40	0	11	0	11395	11404	1	41	0	1	0	9	9	9	41	9
SRR1553867	11430	41	43	40	43	0	43	44	0	11403	45	43	43	11431	44	0	44	0	43	43	43	43	1	11430	40	1	43	40	0	11426	46	41	0	40	47	40	11403	11411	41	1	40	41	40	45	45	45	1	45
SRR1553871	15	11420	11422	11419	11422	11426	11422	11422	11426	12	11424	11422	11422	14	11423	11426	11423	11426	11422	11422	11422	11422	11427	18	11419	11427	11422	11419	11426	0	11425	11420	11426	11419	11425	11418	8	13	11420	11425	11419	11420	11414	11424	11424	11424	11427	11423
SRR1553882	11428	11	3	10	3	46	3	4	46	11399	5	3	3	11427	4	46	4	46	3	3	3	3	47	11429	10	47	3	10	46	11425	0	11	46	10	7	10	11401	11410	11	47	10	11	10	1	1	1	47	1
SRR1553906	11423	2	8	1	8	41	8	9	41	11394	10	8	8	11422	9	41	9	41	8	8	8	8	42	11424	1	42	8	1	41	11420	11	0	41	1	12	1	11396	11405	2	42	1	2	1	10	10	10	42	10
SRR1553907	11430	41	43	40	43	0	43	44	0	11403	45	43	43	11431	44	0	44	0	43	43	43	43	1	11430	40	1	43	40	0	11426	46	41	0	40	47	40	11403	11411	41	1	40	41	40	45	45	45	1	45
SRR1554256	11422	1	7	0	7	40	7	8	40	11393	9	7	7	11421	8	40	8	40	7	7	7	7	41	11423	0	41	7	0	40	11419	10	1	40	0	11	0	11395	11404	1	41	0	1	0	9	9	9	41	9
SRR1554259	11428	12	4	11	4	47	4	5	47	11399	6	4	4	11427	5	47	5	47	4	4	4	4	48	11429	11	48	4	11	47	11425	7	12	47	11	0	11	11401	11410	12	48	11	12	11	6	6	6	48	6
SRR1556285	11421	1	7	0	7	40	7	8	40	11392	9	7	7	11420	8	40	8	40	7	7	7	7	41	11423	0	41	7	0	40	11418	10	1	40	0	11	0	11394	11403	1	41	0	1	0	9	9	9	41	9
SRR1556286	18	11396	11398	11395	11398	11403	11398	11398	11403	14	11400	11398	11398	17	11399	11403	11399	11403	11398	11398	11398	11398	11404	22	11395	11404	11398	11395	11403	8	11401	11396	11403	11395	11401	11394	0	13	11396	11402	11395	11396	11390	11400	11400	11400	11404	11399
SRR1556287	11	11405	11407	11404	11407	11411	11407	11407	11411	2	11409	11407	11407	11	11408	11411	11408	11411	11407	11407	11407	11407	11412	15	11404	11412	11407	11404	11411	13	11410	11405	11411	11404	11410	11403	13	0	11405	11410	11404	11405	11399	11409	11409	11409	11412	11408
SRR1556288	11423	2	8	1	8	41	8	9	41	11394	10	8	8	11422	9	41	9	41	8	8	8	8	42	11424	1	42	8	1	41	11420	11	2	41	1	12	1	11396	11405	0	42	1	2	1	10	10	10	42	10
SRR1556289	11429	42	44	41	44	1	44	45	1	11402	46	44	44	11430	45	1	45	1	44	44	44	44	2	11429	41	2	44	41	1	11425	47	42	1	41	48	41	11402	11410	42	0	41	42	41	46	46	46	2	46
SRR1556290	11422	1	7	0	7	40	7	8	40	11393	9	7	7	11421	8	40	8	40	7	7	7	7	41	11423	0	41	7	0	40	11419	10	1	40	0	11	0	11395	11404	1	41	0	1	0	9	9	9	41	9
SRR1556291	11423	2	8	1	8	41	8	9	41	11394	10	8	8	11422	9	41	9	41	8	8	8	8	42	11424	1	42	8	1	41	11420	11	2	41	1	12	1	11396	11405	2	42	1	0	1	10	10	10	42	10
SRR1556292	11417	1	7	0	7	40	7	8	40	11388	9	7	7	11416	8	40	8	40	7	7	7	7	41	11418	0	41	7	0	40	11414	10	1	40	0	11	0	11390	11399	1	41	0	1	0	9	9	9	41	9
SRR1556293	11427	10	2	9	2	45	2	3	45	11398	4	2	2	11426	3	45	3	45	2	2	2	2	46	11428	9	46	2	9	45	11424	1	10	45	9	6	9	11400	11409	10	46	9	10	9	0	0	0	46	0
SRR1556294	11427	10	2	9	2	45	2	3	45	11398	4	2	2	11426	3	45	3	45	2	2	2	2	46	11428	9	46	2	9	45	11424	1	10	45	9	6	9	11400	11409	10	46	9	10	9	0	0	0	46	0
SRR1556295	11427	10	2	9	2	45	2	3	45	11398	4	2	2	11426	3	45	3	45	2	2	2	2	46	11428	9	46	2	9	45	11424	1	10	45	9	6	9	11400	11409	10	46	9	10	9	0	0	0	46	0
SRR1556296	11431	42	44	41	44	1	44	45	1	11404	46	44	44	11432	45	1	45	1	44	44	44	44	2	11431	41	2	44	41	1	11427	47	42	1	41	48	41	11404	11412	42	2	41	42	41	46	46	46	0	46
SRR1556297	11426	10	2	9	2	45	2	3	45	11397	4	2	2	11425	3	45	3	45	2	2	2	2	46	11427	9	46	2	9	45	11423	1	10	45	9	6	9	11399	11408	10	46	9	10	9	0	0	0	46	0
